0.6;Рыбный бульон;250;8;10;1;52;Суп;Рыба
2.21;Котлеты Туманного альбиона;250;31;9;7;230;Основное блюдо;Рыба
2.22;Рыбные котлеты с фасолью;250;42;13;37;330;Основное блюдо;Рыба
2.31;Салат с печенью трески;150;6;40;3;350;Салат;Рыба
2.32;Салат с тунцом Аля Нисуаз;150;22;8;5;184;Салат;Рыба
2.33;Салат с тунцом и фасолью;200;30;9;27;310;Салат;Рыба
2.34;Салат с тунцом;200;22;11;5;209;Салат;Рыба
4.1;Жареная соевая спаржа;250;12;6;27;209;Основное блюдо;Соя
4.2;Индийский салат со спаржей и фасолью;200;7;6;19;155;Основное блюдо;Соя
4.3;Салат с соевой спаржей;200;3;5;9;96;Салат;Соя
4.4;Салат с соевой спаржей и мор. капустой;200;3;0;8;50;Салат;Соя
4.5;Тушёная спаржа;150;3;0;7;41;Основное блюдо;Соя
4.21;Ароматный вегстроганов;250;58;13;24;457;Основное блюдо;Соя
4.22;Жаркое из соевого мяса;200;54;7;22;372;Основное блюдо;Соя
4.23;Салат из соевого мяса и древесных грибов;200;49;1;27;317;Салат;Соя
4.24;Соевое мясо с тыквой и апельсиновым соусом;250;50;1;27;324;Основное блюдо;Соя
4.25;Соевое мясо с баклажанами;200;53;1;23;319;Основное блюдо;Соя
4.26;Соевое мясо тушёное с овощами;250;55;1;27;345;Основное блюдо;Соя
3.2;Кабачки по-итальянски с сыром;250;24;20;8;352;Основное блюдо;Сыр
3.3;Салат из сыра и овощей;250;19;17;7;288;Салат;Сыр
3.4;Салат из сыра и свежих овощей;200;18;17;5;275;Салат;Сыр
3.5;Итальянский салат с сыром;200;25;14;30;373;Салат;Сыр
3.6;Салат из чечевицы и сыра;250;27;12;29;336;Салат;Сыр
3.7;Салат с запечёными овощами;200;12;8;8;172;Салат;Сыр
3.8;Сыр жареный с овощами;300;21;14;16;315;Основное блюдо;Сыр
3.9;Сырная запеканка;250;24;22;7;350;Основное блюдо;Сыр
3.10;Сырная запеканка в перце;250;24;19;7;328;Основное блюдо;Сыр
3.31;Баклажаны с сыром;400;28;26;24;459;Основное блюдо;Сыр
3.32;Капрезе с песто;200;23;22;6;313;Основное блюдо;Сыр
3.33;Моцарелла с печёными овощами;300;24;32;13;437;Основное блюдо;Сыр
3.41;Творожная запеканка;250;25;32;16;455;Основное блюдо;Сыр
3.51;Греческий салат;200;14;21;7;285;Салат;Сыр
3.52;Запеканка из шпината и сыра Фета;300;18;18;24;334;Основное блюдо;Сыр
4.31;Голубцы с тофу и брокколи;200;18;4;23;168;Основное блюдо;Тофу
4.32;Салат с тофу и кокосовым соусом;250;20;11;30;288;Салат;Тофу
4.33;Салат с тофу и фасолью;200;18;5;31;244;Салат;Тофу
